log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,security_bits,BEST
36,68719476736,262144,1024,32,4294967296,40,10.69,322,8.3,128.1,YES
36,68719476736,262144,1024,32,4294967296,40,10.75,321,8.3,128.1,
36,68719476736,262144,1024,32,4294967296,40,11.00,318,8.3,128.4,
36,68719476736,262144,1024,32,4294967296,40,11.50,311,8.3,129.0,
36,68719476736,262144,1024,32,4294967296,40,12.00,304,8.2,129.6,
36,68719476736,262144,1024,32,4294967296,40,12.50,298,8.2,130.2,
36,68719476736,262144,1024,32,4294967296,40,13.00,292,8.2,130.7,
36,68719476736,262144,1024,32,4294967296,40,14.00,281,8.1,131.7,
36,68719476736,262144,1024,32,4294967296,40,15.00,272,8.1,132.7,
36,68719476736,262144,1280,32,4294967296,40,1.00,1054,10.0,128.2,YES
36,68719476736,262144,1280,32,4294967296,40,2.00,745,9.5,136.8,
36,68719476736,262144,1280,32,4294967296,40,3.00,609,9.3,142.4,
36,68719476736,262144,1280,32,4294967296,40,4.00,527,9.0,146.5,
36,68719476736,262144,1280,32,4294967296,40,5.00,471,8.9,149.9,
36,68719476736,262144,1280,32,4294967296,40,6.00,430,8.7,152.7,
36,68719476736,262144,1280,32,4294967296,40,7.00,398,8.6,155.2,
36,68719476736,262144,1280,32,4294967296,40,8.00,372,8.5,157.3,
36,68719476736,262144,1280,32,4294967296,40,9.00,351,8.5,159.3,
36,68719476736,262144,1280,32,4294967296,40,10.00,333,8.4,161.0,
36,68719476736,262144,1280,32,4294967296,40,10.50,325,8.3,161.9,
36,68719476736,262144,1280,32,4294967296,40,11.00,318,8.3,162.7,
36,68719476736,262144,1280,32,4294967296,40,11.50,311,8.3,163.4,
36,68719476736,262144,1280,32,4294967296,40,12.00,304,8.2,164.2,
36,68719476736,262144,1280,32,4294967296,40,12.50,298,8.2,164.9,
36,68719476736,262144,1280,32,4294967296,40,13.00,292,8.2,165.6,
36,68719476736,262144,1280,32,4294967296,40,14.00,281,8.1,166.9,
36,68719476736,262144,1280,32,4294967296,40,15.00,272,8.1,168.2,
36,68719476736,262144,1536,32,4294967296,40,1.00,1054,10.0,155.0,YES
36,68719476736,262144,1536,32,4294967296,40,2.00,745,9.5,166.3,
36,68719476736,262144,1536,32,4294967296,40,3.00,609,9.3,173.2,
36,68719476736,262144,1536,32,4294967296,40,4.00,527,9.0,178.3,
36,68719476736,262144,1536,32,4294967296,40,5.00,471,8.9,182.4,
36,68719476736,262144,1536,32,4294967296,40,6.00,430,8.7,185.9,
36,68719476736,262144,1536,32,4294967296,40,7.00,398,8.6,188.9,
36,68719476736,262144,1536,32,4294967296,40,8.00,372,8.5,191.6,
36,68719476736,262144,1536,32,4294967296,40,9.00,351,8.5,194.0,
36,68719476736,262144,1536,32,4294967296,40,10.00,333,8.4,196.2,
36,68719476736,262144,1536,32,4294967296,40,10.50,325,8.3,197.2,
36,68719476736,262144,1536,32,4294967296,40,11.00,318,8.3,198.2,
36,68719476736,262144,1536,32,4294967296,40,11.50,311,8.3,199.2,
36,68719476736,262144,1536,32,4294967296,40,12.00,304,8.2,200.1,
36,68719476736,262144,1536,32,4294967296,40,12.50,298,8.2,201.0,
36,68719476736,262144,1536,32,4294967296,40,13.00,292,8.2,201.9,
36,68719476736,262144,1536,32,4294967296,40,14.00,281,8.1,203.5,
36,68719476736,262144,1536,32,4294967296,40,15.00,272,8.1,205.0,
36,68719476736,262144,2048,32,4294967296,40,1.00,1054,10.0,210.5,YES
36,68719476736,262144,2048,32,4294967296,40,2.00,745,9.5,228.0,
36,68719476736,262144,2048,32,4294967296,40,3.00,609,9.3,237.6,
36,68719476736,262144,2048,32,4294967296,40,4.00,527,9.0,244.7,
36,68719476736,262144,2048,32,4294967296,40,5.00,471,8.9,250.5,
36,68719476736,262144,2048,32,4294967296,40,6.00,430,8.7,255.4,
36,68719476736,262144,2048,32,4294967296,40,7.00,398,8.6,259.6,
36,68719476736,262144,2048,32,4294967296,40,8.00,372,8.5,263.3,
36,68719476736,262144,2048,32,4294967296,40,9.00,351,8.5,266.7,
36,68719476736,262144,2048,32,4294967296,40,10.00,333,8.4,269.7,
36,68719476736,262144,2048,32,4294967296,40,10.50,325,8.3,271.2,
36,68719476736,262144,2048,32,4294967296,40,11.00,318,8.3,272.6,
36,68719476736,262144,2048,32,4294967296,40,11.50,311,8.3,273.9,
36,68719476736,262144,2048,32,4294967296,40,12.00,304,8.2,275.2,
36,68719476736,262144,2048,32,4294967296,40,12.50,298,8.2,276.4,
36,68719476736,262144,2048,32,4294967296,40,13.00,292,8.2,277.6,
36,68719476736,262144,2048,32,4294967296,40,14.00,281,8.1,279.9,
36,68719476736,262144,2048,32,4294967296,40,15.00,272,8.1,282.0,
