n,log_q,q,sigma,log_N,N,m,delta,log_delta,p,log2_p,security_bits,passes_128bit,source
1024,32,4294967296,1.00,38,274877906944,524288,9.09e-13,-40,887,9.8,101.9,NO,sigma_sweep_q32
1024,32,4294967296,2.00,38,274877906944,524288,9.09e-13,-40,627,9.3,108.6,NO,sigma_sweep_q32
1024,32,4294967296,3.00,38,274877906944,524288,9.09e-13,-40,512,9.0,112.9,NO,sigma_sweep_q32
1024,32,4294967296,4.00,38,274877906944,524288,9.09e-13,-40,443,8.8,116.0,NO,sigma_sweep_q32
1024,32,4294967296,5.00,38,274877906944,524288,9.09e-13,-40,396,8.6,118.6,NO,sigma_sweep_q32
1024,32,4294967296,6.00,38,274877906944,524288,9.09e-13,-40,362,8.5,120.7,NO,sigma_sweep_q32
1024,32,4294967296,7.00,38,274877906944,524288,9.09e-13,-40,335,8.4,122.6,NO,sigma_sweep_q32
1024,32,4294967296,8.00,38,274877906944,524288,9.09e-13,-40,313,8.3,124.3,NO,sigma_sweep_q32
1024,32,4294967296,9.00,38,274877906944,524288,9.09e-13,-40,295,8.2,125.8,NO,sigma_sweep_q32
1024,32,4294967296,10.00,38,274877906944,524288,9.09e-13,-40,280,8.1,127.2,NO,sigma_sweep_q32
1024,32,4294967296,12.00,38,274877906944,524288,9.09e-13,-40,256,8.0,129.6,YES,sigma_sweep_q32
1024,32,4294967296,15.00,38,274877906944,524288,9.09e-13,-40,229,7.8,132.7,YES,sigma_sweep_q32
1024,32,4294967296,20.00,38,274877906944,524288,9.09e-13,-40,198,7.6,136.8,YES,sigma_sweep_q32
1024,32,4294967296,25.00,38,274877906944,524288,9.09e-13,-40,177,7.5,140.2,YES,sigma_sweep_q32
1024,32,4294967296,30.00,38,274877906944,524288,9.09e-13,-40,161,7.3,143.0,YES,sigma_sweep_q32
1024,32,4294967296,40.00,38,274877906944,524288,9.09e-13,-40,140,7.1,147.6,YES,sigma_sweep_q32
1024,32,4294967296,50.00,38,274877906944,524288,9.09e-13,-40,125,7.0,151.4,YES,sigma_sweep_q32
1024,32,4294967296,75.00,38,274877906944,524288,9.09e-13,-40,102,6.7,158.6,YES,sigma_sweep_q32
1024,32,4294967296,100.00,38,274877906944,524288,9.09e-13,-40,88,6.5,164.0,YES,sigma_sweep_q32
2048,32,4294967296,1.00,38,274877906944,524288,9.09e-13,-40,887,9.8,210.5,YES,sigma_sweep_q32
2048,32,4294967296,2.00,38,274877906944,524288,9.09e-13,-40,627,9.3,228.0,YES,sigma_sweep_q32
2048,32,4294967296,3.00,38,274877906944,524288,9.09e-13,-40,512,9.0,237.6,YES,sigma_sweep_q32
